Posição no depósito;Tipo de depósito;Corr.pos.dep.;Col.posição depósito;Nível da posição;Subdiv.pos.dep.;Bloq.entr.depósito;Bloq.saída depos.;Estrutura;Tipo;Qtd. Caixas BIN ABASTECIMENTO;Desc_Tp
207-002-000-001;0055;207;002;000;001;;;Miniload 2;Estanteria;1;Estanteria
207-002-000-002;0055;207;002;000;002;;;Miniload 2;Estanteria;1;Estanteria
207-002-000-003;0055;207;002;000;003;;;Miniload 2;Estanteria;1;Estanteria
207-002-000-004;0055;207;002;000;004;;;Miniload 2;Estanteria;1;Estanteria
207-002-000-005;0055;207;002;000;005;;;Miniload 2;Estanteria;1;Estanteria
207-002-000-006;0055;207;002;000;006;;;Miniload 2;Estanteria;1;Estanteria
207-002-000-007;0055;207;002;000;007;;;Miniload 2;Estanteria;1;Estanteria
207-002-000-008;0055;207;002;000;008;;;Miniload 2;Estanteria;1;Estanteria
207-002-000-009;0055;207;002;000;009;;;Miniload 2;Estanteria;1;Estanteria
207-002-000-010;0055;207;002;000;010;;;Miniload 2;Estanteria;1;Estanteria
207-002-000-011;0055;207;002;000;011;;;Miniload 2;Estanteria;1;Estanteria
207-002-000-012;0055;207;002;000;012;;;Miniload 2;Estanteria;1;Estanteria
207-002-000-013;0055;207;002;000;013;;;Miniload 2;Estanteria;1;Estanteria
207-002-000-014;0055;207;002;000;014;;;Miniload 2;Estanteria;1;Estanteria
207-002-000-015;0055;207;002;000;015;;;Miniload 2;Estanteria;1;Estanteria
207-002-000-016;0055;207;002;000;016;;;Miniload 2;Estanteria;1;Estanteria
207-002-000-017;0055;207;002;000;017;;;Miniload 2;Estanteria;1;Estanteria
207-002-000-018;0055;207;002;000;018;;;Miniload 2;Estanteria;1;Estanteria
207-002-000-019;0055;207;002;000;019;;;Miniload 2;Estanteria;1;Estanteria
207-002-000-020;0055;207;002;000;020;;;Miniload 2;Estanteria;1;Estanteria
207-002-001-001;0055;207;002;001;001;;;Miniload 2;Estanteria;1;Estanteria
207-002-001-002;0055;207;002;001;002;;;Miniload 2;Estanteria;1;Estanteria
207-002-001-003;0055;207;002;001;003;;;Miniload 2;Estanteria;1;Estanteria
207-002-001-004;0055;207;002;001;004;;;Miniload 2;Estanteria;1;Estanteria
207-002-001-005;0055;207;002;001;005;;;Miniload 2;Estanteria;1;Estanteria
207-002-001-006;0055;207;002;001;006;;;Miniload 2;Estanteria;1;Estanteria
207-002-001-007;0055;207;002;001;007;;;Miniload 2;Estanteria;1;Estanteria
207-002-001-008;0055;207;002;001;008;;;Miniload 2;Estanteria;1;Estanteria
207-002-001-009;0055;207;002;001;009;;;Miniload 2;Estanteria;1;Estanteria
207-002-001-010;0055;207;002;001;010;;;Miniload 2;Estanteria;1;Estanteria
207-002-001-011;0055;207;002;001;011;;;Miniload 2;Estanteria;1;Estanteria
207-002-001-012;0055;207;002;001;012;;;Miniload 2;Estanteria;1;Estanteria
207-002-001-013;0055;207;002;001;013;;;Miniload 2;Estanteria;1;Estanteria
207-002-001-014;0055;207;002;001;014;;;Miniload 2;Estanteria;1;Estanteria
207-002-001-015;0055;207;002;001;015;;;Miniload 2;Estanteria;1;Estanteria
207-002-001-016;0055;207;002;001;016;;;Miniload 2;Estanteria;1;Estanteria
207-002-001-017;0055;207;002;001;017;;;Miniload 2;Estanteria;1;Estanteria
207-002-001-018;0055;207;002;001;018;;;Miniload 2;Estanteria;1;Estanteria
